t,V,I
84881.4551,2.862410702,-0.0022
84941.4551,2.862664136,-0.0022
85001.4551,2.862917404,-0.0022
85061.4551,2.863170505,-0.0022
85121.4551,2.86342344,-0.0022
85181.4551,2.863676209,-0.0022
85241.4551,2.863928811,-0.0022
85301.4551,2.864181248,-0.0022
85361.4551,2.864433518,-0.0022
85421.4551,2.864685623,-0.0022
85481.4551,2.864937563,-0.0022
85541.4551,2.865189336,-0.0022
85601.4551,2.865440945,-0.0022
85661.4551,2.865692388,-0.0022
85721.4551,2.865943666,-0.0022
85781.4551,2.866194778,-0.0022
85841.4551,2.866445726,-0.0022
85901.4551,2.866696509,-0.0022
85961.4551,2.866947127,-0.0022
86021.4551,2.86719758,-0.0022
86081.4551,2.867447869,-0.0022
86141.4551,2.867697994,-0.0022
86201.4551,2.867947954,-0.0022
86261.4551,2.86819775,-0.0022
86321.4551,2.868447381,-0.0022
86381.4551,2.868696849,-0.0022
86441.4551,2.868946153,-0.0022
86501.4551,2.869195293,-0.0022
86561.4551,2.86944427,-0.0022
86621.4551,2.869693082,-0.0022
86681.4551,2.869941732,-0.0022
86741.4551,2.870190218,-0.0022
86801.4551,2.870438541,-0.0022
86861.4551,2.8706867,-0.0022
86921.4551,2.870934697,-0.0022
86981.4551,2.871182531,-0.0022
87041.4551,2.871430202,-0.0022
87101.4551,2.87167771,-0.0022
87161.4551,2.871925056,-0.0022
87221.4551,2.872172239,-0.0022
87281.4551,2.87241926,-0.0022
87341.4551,2.872666119,-0.0022
87401.4551,2.872912815,-0.0022
87461.4551,2.87315935,-0.0022
87521.4551,2.873405722,-0.0022
87581.4551,2.873651933,-0.0022
87641.4551,2.873897982,-0.0022
87701.4551,2.87414387,-0.0022
87761.4551,2.874389596,-0.0022
87821.4551,2.87463516,-0.0022
87881.4551,2.874880563,-0.0022
87941.4551,2.875125805,-0.0022
88001.4551,2.875370886,-0.0022
88061.4551,2.875615807,-0.0022
88121.4551,2.875860566,-0.0022
88181.4551,2.876105164,-0.0022
88241.4551,2.876349602,-0.0022
88301.4551,2.876593879,-0.0022
88361.4551,2.876837996,-0.0022
88421.4551,2.877081953,-0.0022
88481.4551,2.877325749,-0.0022
88541.4551,2.877569385,-0.0022
88601.4551,2.877812862,-0.0022
88661.4551,2.878056178,-0.0022
88721.4551,2.878299335,-0.0022
88781.4551,2.878542332,-0.0022
88841.4551,2.878785169,-0.0022
88901.4551,2.879027847,-0.0022
88961.4551,2.879270366,-0.0022
89021.4551,2.879512725,-0.0022
89081.4551,2.879754925,-0.0022
89141.4551,2.879996966,-0.0022
89201.4551,2.880238849,-0.0022
89261.4551,2.880480572,-0.0022
89321.4551,2.880722137,-0.0022
89381.4551,2.880963543,-0.0022
89441.4551,2.881204791,-0.0022
89501.4551,2.88144588,-0.0022
89561.4551,2.881686811,-0.0022
89621.4551,2.881927583,-0.0022
89681.4551,2.882168198,-0.0022
89741.4551,2.882408655,-0.0022
89801.4551,2.882648954,-0.0022
89861.4551,2.882889095,-0.0022
89921.4551,2.883129078,-0.0022
89981.4551,2.883368904,-0.0022
90041.4551,2.883608572,-0.0022
90101.4551,2.883848084,-0.0022
90161.4551,2.884087437,-0.0022
90221.4551,2.884326634,-0.0022
90281.4551,2.884565674,-0.0022
90341.4551,2.884804557,-0.0022
90401.4551,2.885043283,-0.0022
90461.4551,2.885281852,-0.0022
90521.4551,2.885520264,-0.0022
90581.4551,2.885758521,-0.0022
90641.4551,2.88599662,-0.0022
90701.4551,2.886234564,-0.0022
90761.4551,2.886472351,-0.0022
90821.4551,2.886709982,-0.0022
90881.4551,2.886947457,-0.0022
90941.4551,2.887184777,-0.0022
91001.4551,2.88742194,-0.0022
91061.4551,2.887658948,-0.0022
91121.4551,2.887895801,-0.0022
91181.4551,2.888132498,-0.0022
91241.4551,2.888369039,-0.0022
91301.4551,2.888605425,-0.0022
91361.4551,2.888841656,-0.0022
91421.4551,2.889077733,-0.0022
91481.4551,2.889313654,-0.0022
91541.4551,2.88954942,-0.0022
91601.4551,2.889785032,-0.0022
91661.4551,2.890020489,-0.0022
91721.4551,2.890255791,-0.0022
91781.4551,2.890490939,-0.0022
91841.4551,2.890725933,-0.0022
91901.4551,2.890960772,-0.0022
91961.4551,2.891195458,-0.0022
92021.4551,2.891429989,-0.0022
92081.4551,2.891664366,-0.0022
92141.4551,2.89189859,-0.0022
92201.4551,2.89213266,-0.0022
92261.4551,2.892366576,-0.0022
92321.4551,2.892600339,-0.0022
92381.4551,2.892833949,-0.0022
92441.4551,2.893067405,-0.0022
92501.4551,2.893300708,-0.0022
92561.4551,2.893533858,-0.0022
92621.4551,2.893766855,-0.0022
92681.4551,2.893999699,-0.0022
92741.4551,2.89423239,-0.0022
92801.4551,2.894464928,-0.0022
92861.4551,2.894697314,-0.0022
92921.4551,2.894929548,-0.0022
92981.4551,2.895161629,-0.0022
93041.4551,2.895393558,-0.0022
93101.4551,2.895625335,-0.0022
93161.4551,2.895856959,-0.0022
93221.4551,2.896088432,-0.0022
93281.4551,2.896319753,-0.0022
93341.4551,2.896550922,-0.0022
93401.4551,2.896781939,-0.0022
93461.4551,2.897012805,-0.0022
93521.4551,2.897243519,-0.0022
93581.4551,2.897474082,-0.0022
93641.4551,2.897704494,-0.0022
93701.4551,2.897934755,-0.0022
93761.4551,2.898164864,-0.0022
93821.4551,2.898394823,-0.0022
