t,V,I
53523.37983,2.877319373,-0.01
53583.37983,2.877716022,-0.01
53643.37983,2.87811225,-0.01
53703.37983,2.878508057,-0.01
53763.37983,2.878903445,-0.01
53823.37983,2.879298413,-0.01
53883.37983,2.879692963,-0.01
53943.37983,2.880087094,-0.01
54003.37983,2.880480806,-0.01
54063.37983,2.880874102,-0.01
54123.37983,2.881266981,-0.01
54183.37983,2.881659443,-0.01
54243.37983,2.882051489,-0.01
54303.37983,2.882443119,-0.01
54363.37983,2.882834335,-0.01
54423.37983,2.883225136,-0.01
54483.37983,2.883615522,-0.01
54543.37983,2.884005496,-0.01
54603.37983,2.884395056,-0.01
54663.37983,2.884784203,-0.01
54723.37983,2.885172938,-0.01
54783.37983,2.885561262,-0.01
54843.37983,2.885949174,-0.01
54903.37983,2.886336676,-0.01
54963.37983,2.886723768,-0.01
55023.37983,2.887110449,-0.01
55083.37983,2.887496721,-0.01
55143.37983,2.887882585,-0.01
55203.37983,2.88826804,-0.01
55263.37983,2.888653087,-0.01
55323.37983,2.889037727,-0.01
55383.37983,2.88942196,-0.01
55443.37983,2.889805786,-0.01
55503.37983,2.890189207,-0.01
55563.37983,2.890572221,-0.01
55623.37983,2.890954831,-0.01
55683.37983,2.891337036,-0.01
55743.37983,2.891718837,-0.01
55803.37983,2.892100235,-0.01
55863.37983,2.892481229,-0.01
55923.37983,2.89286182,-0.01
55983.37983,2.89324201,-0.01
56043.37983,2.893621797,-0.01
56103.37983,2.894001183,-0.01
56163.37983,2.894380169,-0.01
56223.37983,2.894758754,-0.01
56283.37983,2.895136938,-0.01
56343.37983,2.895514724,-0.01
56403.37983,2.895892111,-0.01
56463.37983,2.896269099,-0.01
56523.37983,2.896645688,-0.01
56583.37983,2.897021881,-0.01
56643.37983,2.897397676,-0.01
56703.37983,2.897773074,-0.01
56763.37983,2.898148077,-0.01
56823.37983,2.898522683,-0.01
56883.37983,2.898896894,-0.01
56943.37983,2.899270711,-0.01
57003.37983,2.899644133,-0.01
57063.37983,2.900017161,-0.01
57123.37983,2.900389795,-0.01
57183.37983,2.900762037,-0.01
57243.37983,2.901133886,-0.01
57303.37983,2.901505343,-0.01
57363.37983,2.901876408,-0.01
57423.37983,2.902247082,-0.01
57483.37983,2.902617366,-0.01
57543.37983,2.902987259,-0.01
57603.37983,2.903356762,-0.01
57663.37983,2.903725876,-0.01
57723.37983,2.904094601,-0.01
57783.37983,2.904462937,-0.01
57843.37983,2.904830886,-0.01
57903.37983,2.905198447,-0.01
57963.37983,2.905565621,-0.01
58023.37983,2.905932408,-0.01
58083.37983,2.906298809,-0.01
58143.37983,2.906664824,-0.01
58203.37983,2.907030454,-0.01
58263.37983,2.907395699,-0.01
58323.37983,2.907760559,-0.01
58383.37983,2.908125036,-0.01
58443.37983,2.908489129,-0.01
